,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
2550,Beograd,Zemun,Batajnica,kralja radoslava,Stan,56.0,3,EG,1,2,45000,15.84687881
2551,Beograd,Zemun,Batajnica,kralja radoslava,Stan,43.0,2.5,EG,PR,2,34000,15.84687881
2552,Beograd,Zemun,Batajnica,kralja radoslava,Stan,56.0,3,EG,1,2,45000,15.84687881
2553,Beograd,Zemun,Batajnica,kralja radoslava,Stan,48.0,3,EG,PR,2,37000,15.84687881
2554,Beograd,Zemun,Batajnica,kralja radoslava,Stan,33.0,1,EG,VPR,2,29000,15.84687881
2555,Beograd,Zemun,Batajnica,kralja radoslava,Stan,62.0,3,EG,1,2,50000,15.84687881
2556,Beograd,Zemun,Batajnica,kralja radoslava,Stan,43.0,2.5,EG,PR,2,34000,15.84687881
2557,Beograd,Zemun,Batajnica,kralja radoslava,Stan,48.0,3,EG,PR,2,37000,15.84687881
2558,Beograd,Voždovac,Bioskop Voždovac,kralja vladimira,Stan,66.0,2,EG,1,2,108000,2.886240556
2559,Beograd,Voždovac,Bioskop Voždovac,kralja vladimira,Stan,66.0,2,EG,1,2,108000,2.886240556
2560,Beograd,Voždovac,Kumodraška,kraljevacka,Stan,64.0,2.5,CG,VPR,5,67000,3.321403451
2561,Beograd,Voždovac,Voždova?ka crkva,kraljevacka,Stan,72.0,3,CG,5,8,76000,3.321403451
2562,Beograd,Voždovac,Voždova?ka crkva,kraljevacka,Stan,72.0,3,CG,5,8,76000,3.321403451
2563,Beograd,?ukarica,Bele vode,kraljevackih zrtava,Stan,65.0,3,TA,2,3,59500,12.34324322
2564,Beograd,Savski venac,Kara?or?eva,kraljevica marka,Stan,72.0,3,CG,6,11,115000,0.524279591
2565,Beograd,Stari grad,Zeleni venac,kraljevica marka,Stan,56.0,2.5,EG,4,5,81200,0.524279591
2566,Beograd,Savski venac,Savski trg - Pristanište,kraljevica marka,Stan,75.0,3,CG,6,10,115000,0.524279591
2567,Beograd,Stari grad,Zeleni venac,kraljevica marka,Stan,56.0,2.5,EG,4,5,81200,0.524279591
2568,Beograd,Savski venac,Gavrila Principa,kraljevica marka,Stan,72.0,3,CG,6,11,115000,0.524279591
2569,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,94.0,3,CG,3,4,89000,4.929692659
2570,Beograd,?ukarica,Golf,kraljice katarine,Stan,84.0,3.5,CG,VPR,3,114900,4.929692659
2571,Beograd,?ukarica,Golf,kraljice katarine,Stan,84.0,3.5,CG,VPR,3,114900,4.929692659
2572,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,92.0,4,CG,3,3,116000,4.929692659
2573,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,80.0,2.5,CG,5,5,84000,4.929692659
2574,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,94.0,3,CG,3,4,89000,4.929692659
2575,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,25.0,0.5,CG,4,5,45000,4.929692659
2576,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,61.0,2,CG,1,5,83000,4.929692659
2577,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,92.0,4,CG,3,3,116000,4.929692659
2578,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,80.0,2.5,CG,5,5,84000,4.929692659
2579,Beograd,?ukarica,Banovo brdo,kraljice katarine,Stan,61.0,2,CG,1,5,83000,4.929692659
2580,Beograd,Palilula,Centar,kraljice marije,Stan,74.0,2.5,CG,7,8,115000,1.6088546680000002
2581,Beograd,Palilula,Poštanska štedionica,kraljice marije,Stan,130.0,5+,CG,1,4,189000,1.6088546680000002
2582,Beograd,Palilula,Centar,kraljice marije,Stan,130.0,4,CG,1,4,194900,1.6088546680000002
2583,Beograd,Palilula,Centar,kraljice marije,Stan,74.0,2.5,CG,7,8,115000,1.6088546680000002
2584,Beograd,Palilula,Poštanska štedionica,kraljice marije,Stan,74.0,2.5,CG,7,8,115000,1.6088546680000002
2585,Beograd,Zvezdara,Vukov Spomenik,kraljice marije,Stan,54.0,2,TA,2,3,91000,1.6088546680000002
2586,Beograd,Palilula,Poštanska štedionica,kraljice marije,Stan,130.0,5+,CG,1,4,189000,1.6088546680000002
2587,Beograd,Savski venac,Kraljice Natalije,kraljice natalije,Stan,52.0,2.5,EG,PR,4,55000,0.434772206
2588,Beograd,Savski venac,Centar,kraljice natalije,Stan,78.0,3,CG,PR,6,105011,0.434772206
2589,Beograd,Savski venac,Centar,kraljice natalije,Stan,78.0,3,CG,PR,6,105011,0.434772206
2590,Beograd,Savski venac,Centar,kraljice natalije,Stan,54.0,2,CG,7,7,79000,0.434772206
2591,Beograd,Stari grad,Terazije,kraljice natalije,Stan,110.0,4,TA,3,3,165000,0.434772206
2592,Beograd,Savski venac,Centar,kraljice natalije,Stan,87.0,3,EG,2,3,190000,0.434772206
2593,Beograd,Savski venac,Centar,kraljice natalije,Stan,87.0,3,EG,2,3,190000,0.434772206
2594,Beograd,Zvezdara,Mali Mokri Lug,kremanska,Stan,93.0,4,CG,1,2,102000,4.606573996
2595,Beograd,Zvezdara,Mali Mokri Lug,kremanska,Stan,93.0,4,CG,1,2,102000,4.606573996
2596,Beograd,Zvezdara,Denkova bašta,krizaniceva,Stan,88.0,3.5,CG,1,6,104000,3.977534608
2597,Beograd,Zvezdara,Denkova bašta,krizaniceva,Stan,100.0,4,CG,4,6,151000,3.977534608
2598,Beograd,Zvezdara,Denkova bašta,krizaniceva,Stan,78.0,3,CG,1,6,104000,3.977534608
2599,Beograd,Savski venac,Dedinje,kronstatska,Stan,54.0,2,CG,1,2,77000,5.319703206
2600,Beograd,Savski venac,Dedinje,kronstatska,Stan,54.0,2,CG,1,2,77000,5.319703206
2601,Beograd,Savski venac,Dedinje,kronstatska,Stan,225.0,3,EG,3,4,295000,5.319703206
2602,Beograd,Savski venac,Dedinje,kronstatska,Stan,225.0,3,EG,3,4,295000,5.319703206
2603,Beograd,?ukarica,Bele vode,krste sretenovica,Stan,37.0,1,EG,PR,4,37000,6.641444456
2604,Beograd,Vra?ar,Krunska,krunska,Stan,100.0,4,CG,4,5,199000,1.154650478
2605,Beograd,Vra?ar,Krunska,krunska,Stan,195.0,4,CG,4,5,710000,1.154650478
2606,Beograd,Vra?ar,Krunska,krunska,Stan,100.0,4,CG,4,5,199000,1.154650478
2607,Beograd,Vra?ar,Krunska,krunska,Stan,68.0,2,EG,5,5,130000,1.154650478
2608,Beograd,Vra?ar,Krunska,krunska,Stan,69.0,2.5,CG,4,5,133000,1.154650478
2609,Beograd,Vra?ar,Krunska,krunska,Stan,68.0,2,EG,5,5,130000,1.154650478
2610,Beograd,Vra?ar,Krunska,krunska,Stan,54.0,2,CG,5,6,125000,1.154650478
2611,Beograd,Vra?ar,Krunska,krunska,Stan,240.0,4,CG,1,3,700000,1.154650478
2612,Beograd,Vra?ar,Krunska,krunska,Stan,54.0,2,CG,5,6,125000,1.154650478
2613,Beograd,Voždovac,Lekino brdo,krusevacka,Stan,54.0,3,EG,4,4,76000,2.939180993
2614,Beograd,Voždovac,Lekino brdo,krusevacka,Stan,62.0,2.5,CG,3,4,85000,2.939180993
2615,Beograd,Voždovac,Lekino brdo,krusevacka,Stan,54.0,2.5,EG,4,5,76000,2.939180993
2616,Beograd,Voždovac,Dušanovac,krusevacka,Stan,54.0,3,EG,4,5,76000,2.939180993
2617,Beograd,Voždovac,Lekino brdo,krusevacka,Stan,54.0,3,EG,4,5,76000,2.939180993
2618,Beograd,Voždovac,Lekino brdo,krusevacka,Stan,54.0,2,EG,4,5,76000,2.939180993
2619,Beograd,Vra?ar,Bulevar kralja Aleksandra,kumanovska,Stan,131.0,4.5,CG,4,7,250000,1.380514421
2620,Beograd,Vra?ar,SC Vra?ar,kumanovska,Stan,82.0,3,CG,VPR,4,140000,1.380514421
2621,Beograd,Vra?ar,Neimar,kumanovska,Stan,82.0,3,CG,VPR,4,145000,1.380514421
2622,Beograd,Voždovac,Kumodraška,kumodra[ka,Stan,93.0,3,Gas,1,3,155000,5.319703206
2623,Beograd,Voždovac,Kumodraška,kumodraska,Stan,79.0,3,CG,1,5,83000,3.454409464
2624,Beograd,Voždovac,Darvinova pošta,kumodraska,Stan,71.0,3,CG,3,5,74900,3.454409464
2625,Beograd,Voždovac,Darvinova pošta,kumodraska,Stan,71.0,3,CG,3,5,74900,3.454409464
2626,Beograd,Voždovac,Kumodraška,kumodraska,Stan,79.0,3,CG,1,5,83000,3.454409464
2627,Beograd,Voždovac,Kumodraška,kumodraska,Stan,71.0,3,CG,3,4,74900,3.454409464
2628,Beograd,Voždovac,Kumodraž,kumodraska,Stan,75.0,2.5,CG,VPR,4,64000,3.454409464
2629,Beograd,Voždovac,Vitanova?ka,kumodraska,Stan,65.0,2.5,EG,3,4,83000,3.454409464
2630,Beograd,Voždovac,Autokomanda,kumodraska,Stan,80.0,3,CG,2,4,86000,3.454409464
2631,Beograd,Voždovac,Kumodraška,kumodraska,Stan,38.0,1.5,EG,PSUT,3,38000,3.454409464
2632,Beograd,Voždovac,Vitanova?ka,kumodraska,Stan,65.0,2.5,EG,3,4,83000,3.454409464
2633,Beograd,Voždovac,Kumodraž,kumodraska,Stan,61.0,2,CG,3,3,60000,3.454409464
2634,Beograd,Voždovac,Kumodraž,kumodraska,Stan,82.0,3,CG,VPR,4,83000,3.454409464
2635,Beograd,Voždovac,Kumodraž,kumodraska,Stan,75.0,2.5,CG,VPR,4,64000,3.454409464
2636,Beograd,Voždovac,Kumodraška,kumodraska,Stan,61.0,2.5,CG,1,6,85000,3.454409464
2637,Beograd,Voždovac,Kumodraž,kumodraz ii,Stan,61.0,2.5,CG,3,3,60000,7.775972825
2638,Beograd,Voždovac,Kumodraž,kumodraz ii,Stan,79.0,3,CG,3,4,81000,7.775972825
2639,Beograd,Vra?ar,Kaleni? pijaca,kursulina,Stan,82.0,2.5,CG,4,5,230000,1.6596235259999998
