,Unnamed: 0,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
1410,2598,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,56,2.5,Norveški radijatori,1,5,54000,5.319703206
1411,5884,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,47,2,Norveški radijatori,3,3,48200,2.297503274
1412,4488,Beograd,Palilula,Ćalije,dragoslava srejovica,Stan,69,2,Gas,1,2,49500,2.297503274
1413,4470,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,32,0.5,EG,3,3,35000,2.297503274
1414,112,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,44,2,Norveški radijatori,3,3,40000,2.297503274
1415,882,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,61,2,EG,2,3,63745,2.297503274
1416,5858,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,47,2,EG,2,3,44400,2.297503274
1417,965,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,61,3,EG,2,4,59100,2.297503274
1418,832,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,58,3,EG,2,3,60610,2.297503274
1419,1969,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,52,2.5,Norveški radijatori,1,3,50000,2.297503274
1420,5045,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,49,1,EG,3,3,49000,2.297503274
1421,2899,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,58,3,EG,2,3,60610,2.297503274
1422,796,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,100,5+,TA,4,4,96900,2.297503274
1423,1984,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,48.26,2,Norveški radijatori,1,3,48000,2.297503274
1424,836,Beograd,Palilula,Karaburma,dragoslava srejovica,Stan,38,1,TA,1,4,38200,2.297503274
1425,2488,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,61,3,EG,2,4,59100,2.297503274
1426,5605,Beograd,Palilula,Karaburma,dragoslava srejovica,Stan,60,3,TA,1,4,50000,2.297503274
1427,229,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,52,2.5,Norveški radijatori,1,3,50000,2.297503274
1428,3400,Beograd,Palilula,Karaburma,dragoslava srejovica,Stan,32,0.5,EG,2,4,26000,2.297503274
1429,3016,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,61,2,EG,2,3,63745,2.297503274
1430,2090,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,24,0.5,Gas,3,3,21000,2.297503274
1431,1053,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,53,3,TA,1,4,51350,2.297503274
1432,2989,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,28,0.5,TA,SUT,4,27200,2.297503274
1433,2340,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,100,5+,TA,4,4,96900,2.297503274
1434,3424,Beograd,Palilula,Karaburma,dragoslava srejovica,Stan,55,2.5,Gas,PR,4,47000,2.297503274
1435,1088,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,28,0.5,TA,SUT,4,27200,2.297503274
1436,4733,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,43,3,Norveški radijatori,PR,3,46500,2.297503274
1437,2092,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,43,1.5,EG,PSUT,4,30000,2.297503274
1438,5514,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,53,3,Norveški radijatori,2,4,51350,2.297503274
1439,1363,Beograd,Palilula,Karaburma,dragoslava srejovica,Stan,32,0.5,EG,2,4,26000,2.297503274
1440,1941,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,44,2,Norveški radijatori,3,3,40000,2.297503274
1441,2653,Beograd,Palilula,Karaburma,dragoslava srejovica,Stan,38,1,TA,1,4,38200,2.297503274
1442,2559,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,53,3,TA,1,4,51350,2.297503274
1443,266,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,48.26,2,Norveški radijatori,1,3,48000,2.297503274
1444,318,Beograd,Zvezdara,Mirijevo,dragoslava srejovica,Stan,43,1.5,EG,PSUT,4,30000,2.297503274
1445,5779,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,62,2.5,Norveški radijatori,VPR,6,55000,5.319703206
1446,3106,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,38,1.5,Norveški radijatori,4,5,41400,5.319703206
1447,3114,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,32,1,Norveški radijatori,1,5,34000,5.319703206
1448,4663,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,32,1,Norveški radijatori,1,5,34000,5.319703206
1449,1226,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,38,1.5,Norveški radijatori,4,5,41400,5.319703206
1450,5529,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,39,1.5,TA,2,5,37440,5.319703206
1451,3517,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,37,1.5,Norveški radijatori,4,5,40000,5.319703206
1452,1391,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,32,1,Norveški radijatori,1,5,34000,5.319703206
1453,6007,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,62,2.5,EG,VPR,6,55000,5.319703206
1454,5294,Beograd,Zvezdara,Mirijevo,dragoslav djordjevica gose,Stan,45,1.5,TA,2,5,43200,5.319703206
