,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
10836,Beograd,Palilula,Krnjača,Grge Andrijanovića ulica 2.,Stan,45,2.0,38000
10837,Beograd,Vračar,Hram svetog Save,Patrijarha Varnave,Stan,140,3.5,204900
10838,Beograd,Vračar,Karađorđev park,rudnicka,Stan,159,4.0,159000
10839,Beograd,Čukarica,Cerak,Breza,Stan,81,3.0,65000
10840,Beograd,Zvezdara,Mirijevo,Kapetana Miloša Žunjića,Stan,38,1.5,41000
10841,Beograd,Stari grad,Dorćol,Mike Alasa,Stan,41,1.5,53000
10842,Beograd,Voždovac,Banjica,Bulevar Oslobodjenja,Stan,78,3.5,100000
10843,Beograd,Savski venac,Kneza Miloša,Kneza Miloša,Stan,113,3.0,189000
10844,Beograd,Palilula,Centar,Bulevar Despota Stefana,Stan,77,2.0,100000
10845,Beograd,Rakovica,Resnik,Edvarda Griga,Stan,70,2.5,66000
10846,Beograd,Savski venac,Dedinje,Milana Blagojevića Španca,Stan,160,4.0,239000
10847,Beograd,Vračar,Hram svetog Save,Patrijarha Varnave,Stan,105,3.5,195000
10848,Beograd,Savski venac,Dedinje,Alekse Bačvanskog,Stan,70,2.5,265000
10849,Beograd,Voždovac,Braće Jerković,Vojvode Vlahovića,Stan,86,3.0,75000
10850,Beograd,Voždovac,Braće Jerković,Vojvode Vlahović,Stan,40,1.5,36000
10851,Beograd,Voždovac,Braće Jerković,Vojvode Vlahović,Stan,40,2.0,36000
10852,Beograd,Vračar,Crveni krst,Mileševska,Stan,73,2.0,189000
10853,Beograd,Savski venac,Dedinje,Velisava Vulovića,Stan,123,4.0,209000
10854,Beograd,Zvezdara,Kluz,Živka Davidovića,Stan,58,2.0,60000
10855,Beograd,Vračar,Čubura,Maksima Gorkog,Stan,25,0.5,55000
10856,Beograd,Voždovac,Lekino brdo,Djordja Kratovca,Stan,47,2.5,68000
10857,Beograd,Rakovica,Kneževac,Kneževačka,Stan,35,1.0,38000
10858,Beograd,Rakovica,Labudovo brdo,11.krajiške divizije,Stan,47,1.5,53000
10859,Beograd,Novi Beograd,Dr Ivana Ribara,Dr. Ivana Ribara,Stan,63,2.0,70000
10860,Beograd,Voždovac,Jajinci,Bulevar JNA,Stan,150,4.0,120000
10861,Beograd,Rakovica,Miljakovac,Vukasovićeva,Stan,28,0.5,38000
10862,Beograd,Rakovica,Petlovo brdo,Čajnička,Stan,51,2.0,51000
10863,Beograd,Rakovica,Stari Košutnjak,Kosmajskog odreda,Stan,75,3.0,71500
10864,Beograd,Rakovica,Miljakovac,Bogdana Žerajića,Stan,41,3.5,69500
10865,Beograd,Savski venac,Dedinje,Mihaila Avramovića,Stan,62,2.5,83000
10866,Beograd,Savski venac,Palata pravde,Dr Aleksandra Kostića,Stan,60,2.0,79900
10867,Beograd,Čukarica,Žarkovo,Mladenovačka,Stan,62,2.5,56000
10868,Beograd,Zvezdara,Mirijevo,Ljubiše Miodragovića,Stan,65,2.0,63000
10869,Beograd,Novi Beograd,Hotel Jugoslavija,Goce Delčeva (Bul. Maršala Tolbuhina),Stan,45,1.5,60000
10870,Beograd,Palilula,Centar,Jovana Avakumovica,Stan,90,3.0,140000
10871,Beograd,Vračar,Kalenić pijaca,Sumatovacka,Stan,61,3.0,86000
10872,Beograd,Vračar,Južni bulevar,Juzni bulevar,Stan,87,4.0,130000
10873,Beograd,Vračar,Južni bulevar,MAKSIMA GORKOG,Stan,48,1.5,60000
