,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
3282,Beograd,Opština Zvezdara,Lipov lad,Vranjska,Stan,86.0,4.0,CG,VPR,12,109000.0
3283,Beograd,Opština Rakovica,Labudovo brdo,Serdar Janka Vukotica,Stan,40.0,1.5,TA,4,4,29000.0
3284,Beograd,Opština Grocka,Kaluđerica,Smederevski put 120,Stan,57.0,2.0,EG,2,3,34300.0
3285,Beograd,Opština Voždovac,Braće Jerković,Zaplanjska,Stan,28.0,0.5,EG,PR,1,19000.0
3286,Beograd,Opština Stari grad,Dorćol,Jevrejska,Stan,80.0,3.0,TA,PR,2,105000.0
3287,Beograd,Opština Voždovac,Lekino brdo,Mitropolita Stratimirovića,Stan,103.0,4.0,EG,2,2,152000.0
3288,Beograd,Opština Palilula,Borča,Hopovska,Stan,37.0,1.0,CG,3,4,32500.0
3289,Beograd,Opština Palilula,Tašmajdan,Ivankovačka,Stan,88.0,3.0,CG,5,6,176000.0
3290,Beograd,Opština Voždovac,Konjarnik,Ustanička,Stan,72.0,2.5,CG,2,5,79000.0
3291,Beograd,Opština Zvezdara,Bulevar kralja Aleksandra,Bulevar kralja Aleksandra,Stan,60.0,3.0,CG,4,5,80000.0
3292,Beograd,Opština Voždovac,Braće Jerković,Brace Jerkovic,Stan,65.0,2.0,CG,4,8,61000.0
3293,Beograd,Opština Čukarica,Banovo brdo,Kraljice Katarine,Stan,92.0,4.0,CG,3,3,116000.0
3294,Beograd,Opština Novi Beograd,Blok 37,Bulevar Arsenija Čarnojevića,Stan,101.0,4.0,CG,10,16,169000.0
3295,Beograd,Opština Zvezdara,Gradska bolnica,Preševska,Stan,100.0,3.5,CG,PR,5,92000.0
3296,Beograd,Opština Vračar,Kalenić pijaca,Golsvordijeva,Stan,71.0,2.5,CG,5,6,166004.0
3297,Beograd,Opština Vračar,Slavija,Njegoševa,Stan,100.0,3.0,CG,5,6,214000.0
3298,Beograd,Opština Rakovica,Miljakovac,Stanka Paunovića Veljka,Stan,53.0,2.5,CG,3,4,51500.0
3299,Beograd,Opština Rakovica,Stari Košutnjak,Borska,Stan,92.0,3.5,CG,3,6,87000.0
3300,Beograd,Opština Palilula,Botanička bašta,Bulevar Despota Stefana,Stan,78.0,3.0,CG,3,12,97000.0
