,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
3016,Beograd,Novi Beograd,Bežanijska kosa 3,Vespu?ijeva,Stan,96.0,3.0,96000.0
3017,Beograd,Voždovac,Bra?e Jerkovi?,Bra?e Jerkovi?,Stan,62.0,2.0,55000.0
3018,Beograd,?ukarica,Železnik,Stevana Filipovi?a,Stan,48.0,2.5,36000.0
3019,Beograd,Zvezdara,Severni bulevar,Dragiše Lap?evi?a,Stan,105.0,3.0,139000.0
3020,Beograd,Zemun,Save Kova?evi?a,Dragana Raki?a,Stan,45.0,2.5,63500.0
3021,Beograd,Vra?ar,Južni bulevar,Vardarska,Stan,50.0,2.5,60000.0
3022,Beograd,Voždovac,Bra?e Jerkovi?,Bra?e Jerkovi?,Stan,64.0,2.0,57000.0
3023,Beograd,Zemun,Retenzija,Starca Vujadina,Stan,94.0,2.5,80000.0
3024,Beograd,Vra?ar,Hram svetog Save,Šumatova?ka,Stan,68.0,3.5,129000.0
3025,Beograd,Palilula,Tašmajdan,Vladetina,Stan,146.0,5.0,199000.0
3026,Beograd,Vra?ar,Hram svetog Save,Grani?arska,Stan,132.0,5.0,187000.0
3027,Beograd,Palilula,Bor?a,Trg Oslobo?enja,Stan,39.0,1.5,35000.0
3028,Beograd,Voždovac,Konjarnik,Ustani?ka,Stan,55.0,2.5,57000.0
3029,Beograd,Voždovac,Lekino brdo,Tetovska,Stan,78.0,3.0,113000.0
3030,Beograd,Vra?ar,Neimar,Gospodara Vu?i?a,Stan,79.0,3.0,131000.0
3031,Beograd,Palilula,Karaburma,Dragoslava Srejovi?a,Stan,60.0,3.0,50000.0
3032,Beograd,Palilula,Karaburma,Stevana Duki?a,Stan,49.0,2.0,43500.0
3033,Beograd,Novi Beograd,Tošin bunar,Tošin bunar,Stan,68.0,2.5,74900.0
3034,Beograd,Zemun,Centar,Kara?or?eva,Stan,130.0,3.5,142000.0
3035,Beograd,Zemun,Galenika,Jovana Stojsavljevi?a,Stan,62.0,2.5,62000.0
3036,Beograd,?ukarica,Žarkovo,Nasti?eva,Stan,93.0,3.0,70000.0
3037,Beograd,Voždovac,Bra?e Jerkovi?,Mitropolita Pavla Nenadovi?a,Stan,96.0,3.0,100000.0
3038,Beograd,Voždovac,Medakovi? 1,Rastka Petrovi?a,Stan,96.0,3.0,62990.0
3039,Beograd,Vra?ar,Kaleni? pijaca,Mileševska,Stan,73.0,2.0,189000.0
3040,Beograd,?ukarica,Žarkovo,Spasenovi?eva,Stan,90.0,3.5,87000.0
3041,Beograd,Voždovac,FON - Bile?ka,Jove Ili?a,Stan,51.0,3.0,51000.0
3042,Beograd,Voždovac,Bra?e Jerkovi?,Bra?e Jerkovi?,Stan,62.0,2.0,63000.0
3043,Beograd,Palilula,Botani?ka bašta,Bulevar despota Stefana,Stan,68.0,2.5,102000.0
3044,Beograd,Voždovac,Šumice,Glasina?ka,Stan,44.0,1.0,49800.0
3045,Beograd,Palilula,Bor?a,Ratnih vojnih invalida,Stan,37.0,1.0,23000.0
